 electric dipole polarizability:    1.1222580233868532E-002
 m1, energy weight E*R sum:         3.9011037375681568     
 m0, R(E) sum:                      8.1586908357040078E-002
 centroid m1/m0:                    47.815315178952154     
               E                R(E)           photodisintegration cross section
          0.00000000          0.00017864          0.00000000
          0.10000000          0.00017916          0.00000721
          0.20000000          0.00017968          0.00001445
          0.30000000          0.00018020          0.00002175
          0.40000000          0.00018073          0.00002908
          0.50000000          0.00018126          0.00003645
          0.60000000          0.00018179          0.00004387
          0.70000000          0.00018232          0.00005134
          0.80000000          0.00018286          0.00005884
          0.90000000          0.00018339          0.00006639
          1.00000000          0.00018393          0.00007399
          1.10000000          0.00018448          0.00008163
          1.20000000          0.00018502          0.00008931
          1.30000000          0.00018557          0.00009704
          1.40000000          0.00018612          0.00010481
          1.50000000          0.00018667          0.00011263
          1.60000000          0.00018723          0.00012050
          1.70000000          0.00018778          0.00012841
          1.80000000          0.00018834          0.00013637
          1.90000000          0.00018891          0.00014437
          2.00000000          0.00018947          0.00015243
          2.10000000          0.00019004          0.00016053
          2.20000000          0.00019061          0.00016868
          2.30000000          0.00019118          0.00017687
          2.40000000          0.00019176          0.00018512
          2.50000000          0.00019233          0.00019341
          2.60000000          0.00019291          0.00020176
          2.70000000          0.00019350          0.00021015
          2.80000000          0.00019408          0.00021859
          2.90000000          0.00019467          0.00022709
          3.00000000          0.00019526          0.00023563
          3.10000000          0.00019585          0.00024422
          3.20000000          0.00019645          0.00025287
          3.30000000          0.00019705          0.00026157
          3.40000000          0.00019765          0.00027032
          3.50000000          0.00019826          0.00027912
          3.60000000          0.00019886          0.00028797
          3.70000000          0.00019947          0.00029688
          3.80000000          0.00020009          0.00030584
          3.90000000          0.00020070          0.00031485
          4.00000000          0.00020132          0.00032392
          4.10000000          0.00020194          0.00033305
          4.20000000          0.00020257          0.00034222
          4.30000000          0.00020319          0.00035146
          4.40000000          0.00020382          0.00036075
          4.50000000          0.00020446          0.00037009
          4.60000000          0.00020509          0.00037949
          4.70000000          0.00020573          0.00038895
          4.80000000          0.00020637          0.00039847
          4.90000000          0.00020702          0.00040804
          5.00000000          0.00020767          0.00041767
          5.10000000          0.00020832          0.00042736
          5.20000000          0.00020897          0.00043711
          5.30000000          0.00020963          0.00044691
          5.40000000          0.00021029          0.00045678
          5.50000000          0.00021095          0.00046671
          5.60000000          0.00021162          0.00047669
          5.70000000          0.00021229          0.00048674
          5.80000000          0.00021296          0.00049685
          5.90000000          0.00021364          0.00050702
          6.00000000          0.00021432          0.00051726
          6.10000000          0.00021500          0.00052755
          6.20000000          0.00021569          0.00053791
          6.30000000          0.00021638          0.00054833
          6.40000000          0.00021707          0.00055882
          6.50000000          0.00021777          0.00056937
          6.60000000          0.00021846          0.00057999
          6.70000000          0.00021917          0.00059067
          6.80000000          0.00021987          0.00060141
          6.90000000          0.00022058          0.00061223
          7.00000000          0.00022130          0.00062311
          7.10000000          0.00022201          0.00063405
          7.20000000          0.00022273          0.00064507
          7.30000000          0.00022345          0.00065615
          7.40000000          0.00022418          0.00066730
          7.50000000          0.00022491          0.00067852
          7.60000000          0.00022565          0.00068982
          7.70000000          0.00022638          0.00070118
          7.80000000          0.00022712          0.00071261
          7.90000000          0.00022787          0.00072411
          8.00000000          0.00022862          0.00073569
          8.10000000          0.00022937          0.00074733
          8.20000000          0.00023013          0.00075905
          8.30000000          0.00023089          0.00077084
          8.40000000          0.00023165          0.00078271
          8.50000000          0.00023242          0.00079465
          8.60000000          0.00023319          0.00080667
          8.70000000          0.00023396          0.00081876
          8.80000000          0.00023474          0.00083093
          8.90000000          0.00023552          0.00084317
          9.00000000          0.00023631          0.00085549
          9.10000000          0.00023710          0.00086789
          9.20000000          0.00023789          0.00088037
          9.30000000          0.00023869          0.00089292
          9.40000000          0.00023949          0.00090556
          9.50000000          0.00024030          0.00091827
          9.60000000          0.00024111          0.00093107
          9.70000000          0.00024193          0.00094395
          9.80000000          0.00024275          0.00095691
          9.90000000          0.00024357          0.00096995
         10.00000000          0.00024440          0.00098307
         10.10000000          0.00024523          0.00099628
         10.20000000          0.00024606          0.00100957
         10.30000000          0.00024690          0.00102295
         10.40000000          0.00024775          0.00103641
         10.50000000          0.00024860          0.00104996
         10.60000000          0.00024945          0.00106360
         10.70000000          0.00025031          0.00107732
         10.80000000          0.00025117          0.00109114
         10.90000000          0.00025203          0.00110504
         11.00000000          0.00025290          0.00111903
         11.10000000          0.00025378          0.00113311
         11.20000000          0.00025466          0.00114728
         11.30000000          0.00025554          0.00116154
         11.40000000          0.00025643          0.00117590
         11.50000000          0.00025733          0.00119035
         11.60000000          0.00025822          0.00120489
         11.70000000          0.00025913          0.00121953
         11.80000000          0.00026003          0.00123426
         11.90000000          0.00026095          0.00124909
         12.00000000          0.00026186          0.00126401
         12.10000000          0.00026279          0.00127903
         12.20000000          0.00026371          0.00129415
         12.30000000          0.00026465          0.00130937
         12.40000000          0.00026558          0.00132469
         12.50000000          0.00026652          0.00134011
         12.60000000          0.00026747          0.00135563
         12.70000000          0.00026842          0.00137125
         12.80000000          0.00026938          0.00138698
         12.90000000          0.00027034          0.00140280
         13.00000000          0.00027131          0.00141874
         13.10000000          0.00027228          0.00143477
         13.20000000          0.00027326          0.00145092
         13.30000000          0.00027424          0.00146717
         13.40000000          0.00027523          0.00148353
         13.50000000          0.00027623          0.00150000
         13.60000000          0.00027722          0.00151657
         13.70000000          0.00027823          0.00153326
         13.80000000          0.00027924          0.00155006
         13.90000000          0.00028025          0.00156697
         14.00000000          0.00028128          0.00158399
         14.10000000          0.00028230          0.00160113
         14.20000000          0.00028333          0.00161838
         14.30000000          0.00028437          0.00163575
         14.40000000          0.00028542          0.00165323
         14.50000000          0.00028647          0.00167083
         14.60000000          0.00028752          0.00168855
         14.70000000          0.00028858          0.00170639
         14.80000000          0.00028965          0.00172435
         14.90000000          0.00029072          0.00174243
         15.00000000          0.00029180          0.00176064
         15.10000000          0.00029289          0.00177896
         15.20000000          0.00029398          0.00179741
         15.30000000          0.00029507          0.00181599
         15.40000000          0.00029618          0.00183469
         15.50000000          0.00029729          0.00185352
         15.60000000          0.00029840          0.00187248
         15.70000000          0.00029952          0.00189157
         15.80000000          0.00030065          0.00191079
         15.90000000          0.00030179          0.00193014
         16.00000000          0.00030293          0.00194962
         16.10000000          0.00030407          0.00196924
         16.20000000          0.00030523          0.00198899
         16.30000000          0.00030639          0.00200888
         16.40000000          0.00030756          0.00202890
         16.50000000          0.00030873          0.00204907
         16.60000000          0.00030991          0.00206937
         16.70000000          0.00031110          0.00208981
         16.80000000          0.00031229          0.00211040
         16.90000000          0.00031349          0.00213112
         17.00000000          0.00031470          0.00215199
         17.10000000          0.00031592          0.00217301
         17.20000000          0.00031714          0.00219417
         17.30000000          0.00031837          0.00221549
         17.40000000          0.00031961          0.00223695
         17.50000000          0.00032085          0.00225856
         17.60000000          0.00032210          0.00228032
         17.70000000          0.00032336          0.00230223
         17.80000000          0.00032462          0.00232430
         17.90000000          0.00032590          0.00234653
         18.00000000          0.00032718          0.00236891
         18.10000000          0.00032847          0.00239145
         18.20000000          0.00032976          0.00241415
         18.30000000          0.00033106          0.00243700
         18.40000000          0.00033238          0.00246003
         18.50000000          0.00033369          0.00248321
         18.60000000          0.00033502          0.00250656
         18.70000000          0.00033636          0.00253008
         18.80000000          0.00033770          0.00255376
         18.90000000          0.00033905          0.00257761
         19.00000000          0.00034041          0.00260164
         19.10000000          0.00034178          0.00262584
         19.20000000          0.00034315          0.00265021
         19.30000000          0.00034454          0.00267475
         19.40000000          0.00034593          0.00269947
         19.50000000          0.00034733          0.00272437
         19.60000000          0.00034874          0.00274945
         19.70000000          0.00035015          0.00277471
         19.80000000          0.00035158          0.00280016
         19.90000000          0.00035302          0.00282579
         20.00000000          0.00035446          0.00285160
         20.10000000          0.00035591          0.00287761
         20.20000000          0.00035737          0.00290380
         20.30000000          0.00035884          0.00293018
         20.40000000          0.00036032          0.00295676
         20.50000000          0.00036181          0.00298353
         20.60000000          0.00036331          0.00301050
         20.70000000          0.00036482          0.00303767
         20.80000000          0.00036634          0.00306503
