 electric dipole polarizability:    1279.7558405601028     
 m1, energy weight E*R sum:         61552.769520486450     
 m0, R(E) sum:                      3655.5643556001614     
 centroid m1/m0:                    16.838103103338984     
               E                R(E)           photodisintegration cross section
          5.41607671       1061.24716880       2312.03139578
          6.89928226          2.38003850          6.60511328
          7.34941796         14.62449728         43.23408463
          8.54490771          2.02400821          6.95684010
         21.09168229       2321.01330153      19691.61001065
         22.43010091          7.45142572         67.22997962
         24.33540727          0.66717231          6.53083943
         25.44977168        151.84545083       1554.45463337
         25.61295655         33.48148998        344.95056855
         26.81091864         12.44272831        134.18985662
         27.06428682          4.85291308         52.83132177
         27.84294572          0.03413622          0.38231644
         28.91594839         10.08291687        117.27785204
         29.10701867          4.85638209         56.85948856
         29.78550388          0.08525335          1.02143038
         29.89046543          0.07933620          0.95388592
         30.17653100          0.00037085          0.00450154
         30.67091479         14.57928274        179.86856251
         30.87858497          5.01606162         62.30352645
         31.11994011          0.07189960          0.90003127
         31.18954148          0.38081667          4.77768280
         31.65101406          0.00234543          0.02986092
         32.05196893          4.06979268         52.47100411
         32.34223997          0.01907609          0.24817143
         32.57840527          0.03669946          0.48093006
         33.12198211          0.50142890          6.68063985
         33.25460338          0.04945073          0.66148026
         33.75837695          0.25113545          3.41021647
         33.91484412          0.00308192          0.04204395
         34.14192500          0.09458769          1.29901751
         34.19481960          0.00858812          0.11812745
         34.35454954          0.01081659          0.14947445
         34.73099229          0.31431427          4.39110346
         34.77631527          0.01166536          0.16318264
         34.84946841          0.00835293          0.11709206
         34.99629219          0.03113159          0.43824370
         35.07625435          0.05923641          0.83578446
         35.20734914          0.02309912          0.32713051
         35.28278367          0.00547648          0.07772425
         35.52549653          0.05610220          0.80170098
         35.66333162          0.01416352          0.20318217
         35.70060355          0.03851477          0.55308921
         35.77400217          0.11736211          1.68883727
         35.82700920          0.05146584          0.74168932
         35.91530442          0.00743722          0.10744413
         35.93687111          0.00000639          0.00009237
         35.98674075          0.06707990          0.97101799
         36.08085325          0.16923269          2.45614172
         36.18871367          0.16800589          2.44562592
         36.20102295          0.00518460          0.07549681
         36.37192520          0.01950399          0.28535275
         36.37883125          0.07211044          1.05521092
         36.42725925          0.02801024          0.41042686
         36.51816869          0.01245548          0.18296240
         36.54489236          0.00966038          0.14200808
         36.61123848          0.17699738          2.60659553
         36.67106212          0.00418180          0.06168499
         36.70779864          0.01907341          0.28163013
         36.75879405          0.07504915          1.10968418
         36.86371137          0.01541331          0.22855328
         36.92646872          0.05652294          0.83956616
         36.98180773          0.21171274          3.14939775
         37.02453810          0.00068503          0.01020219
         37.11983755          0.15169630          2.26502731
         37.21271445          0.14525545          2.17428346
         37.21959033          0.00682437          0.10217070
         37.23646831          0.00004905          0.00073474
         37.33216486          0.01251292          0.18790326
         37.35895299          0.08467480          1.27245157
         37.38292351          0.00030721          0.00461961
         37.39495455          0.01887196          0.28387192
         37.47795366          0.21961762          3.31081891
         37.50758652          0.01355530          0.20451290
         37.53421940          0.03845625          0.58061292
         37.62554041          0.02417179          0.36583387
         37.69087473          0.02067318          0.31342657
         37.70504956          0.00148399          0.02250728
         37.75010898          0.01305119          0.19818045
         37.77611065          0.08024440          1.21933871
         37.83075588          0.03187432          0.48504084
         37.88912429          0.04797911          0.73123870
         37.94864071          0.00039972          0.00610160
         38.01544891          0.00236887          0.03622382
         38.07037646          0.04958196          0.75928225
         38.08358628          0.00935243          0.14326982
         38.12033083          0.00638695          0.09793602
         38.16432179          0.01050116          0.16120824
         38.21940534          0.07127436          1.09574532
         38.22741705          0.03989651          0.61348251
         38.28819499          0.00790592          0.12176139
         38.31608275          0.03490027          0.53790095
         38.38040438          0.01052787          0.16253341
         38.39613273          0.00331061          0.05113149
         38.43106825          0.02203279          0.34059978
         38.46933482          0.04782315          0.74002309
         38.48574150          0.00916100          0.14181925
         38.53600546          0.00001597          0.00024750
         38.60450634          0.09028441          1.40198431
         38.64707545          0.06016573          0.93531569
         38.66126251          0.06430529          1.00003472
