 electric dipole polarizability:    1599.9218478368743     
 m1, energy weight E*R sum:         60254.811088972339     
 m0, R(E) sum:                      3541.4106405148168     
 centroid m1/m0:                    17.014353094114231     
               E                R(E)           photodisintegration cross section
          0.00000000         20.51268195          0.00000000
          0.10000000         21.17346935          0.85169559
          0.20000000         21.86836110          1.75929476
          0.30000000         22.59972061          2.72719819
          0.40000000         23.37011278          3.76021931
          0.50000000         24.18232400          4.86362874
          0.60000000         25.03938427          6.04320423
          0.70000000         25.94459188          7.30528661
          0.80000000         26.90154071          8.65684251
          0.90000000         27.91415059         10.10553481
          1.00000000         28.98670107         11.65980179
          1.10000000         30.12386884         13.32894602
          1.20000000         31.33076930         15.12323430
          1.30000000         32.61300268         17.05401004
          1.40000000         33.97670509         19.13381948
          1.50000000         35.42860495         21.37655353
          1.60000000         36.97608533         23.79760704
          1.70000000         38.62725240         26.41405724
          1.80000000         40.39101048         29.24486354
          1.90000000         42.27714379         32.31109051
          2.00000000         44.29640494         35.63615606
          2.10000000         46.46060975         39.24610629
          2.20000000         48.78273772         43.16991826
          2.30000000         51.27703669         47.43983078
          2.40000000         53.95912916         52.09170227
          2.50000000         56.84611684         57.16539227
          2.60000000         59.95667763         62.70516041
          2.70000000         63.31114719         68.76007204
          2.80000000         66.93157378         75.38439331
          2.90000000         70.84173023         82.63794971
          3.00000000         75.06706163         90.58640968
          3.10000000         79.63453902         99.30143857
          3.20000000         84.57237989        108.86064573
          3.30000000         89.90958418        119.34721934
          3.40000000         95.67521991        130.84910669
          3.50000000        101.89737603        143.45755371
          3.60000000        108.60168282        157.26476543
          3.70000000        115.80928498        172.36039480
          3.80000000        123.53414337        188.82651617
          3.90000000        131.77954746        206.73070930
          4.00000000        140.53375259        226.11689353
          4.10000000        149.76473145        246.99364808
          4.20000000        159.41416718        269.31998457
          4.30000000        169.39103580        292.98895929
          4.40000000        179.56543696        317.81017617
          4.50000000        189.76371824        343.49314233
          4.60000000        199.76633614        369.63451061
          4.70000000        209.31017695        395.71323753
          4.80000000        218.09702894        421.09817831
