 electric dipole polarizability:    384.26933324500436     
 m1, energy weight E*R sum:         69381.922242387809     
 m0, R(E) sum:                      2426.7648038431062     
 centroid m1/m0:                    28.590295249260361     
               E                R(E)           photodisintegration cross section
          0.00000000          1.49234676          0.00000000
          0.10000000          1.50299890          0.06045762
          0.20000000          1.51376579          0.12178143
          0.30000000          1.52464909          0.18398547
          0.40000000          1.53565048          0.24708407
          0.50000000          1.54677169          0.31109182
          0.60000000          1.55801445          0.37602361
          0.70000000          1.56938057          0.44189459
          0.80000000          1.58087184          0.50872025
          0.90000000          1.59249012          0.57651636
          1.00000000          1.60423729          0.64529899
          1.10000000          1.61611527          0.71508455
          1.20000000          1.62812601          0.78588977
          1.30000000          1.64027150          0.85773171
          1.40000000          1.65255377          0.93062778
          1.50000000          1.66497488          1.00459571
          1.60000000          1.67753694          1.07965363
          1.70000000          1.69024210          1.15582002
          1.80000000          1.70309253          1.23311371
          1.90000000          1.71609047          1.31155394
          2.00000000          1.72923820          1.39116035
          2.10000000          1.74253801          1.47195296
          2.20000000          1.75599229          1.55395222
          2.30000000          1.76960342          1.63717898
          2.40000000          1.78337386          1.72165455
          2.50000000          1.79730612          1.80740067
          2.60000000          1.81140275          1.89443953
          2.70000000          1.82566634          1.98279379
          2.80000000          1.84009955          2.07248658
          2.90000000          1.85470509          2.16354154
          3.00000000          1.86948572          2.25598279
          3.10000000          1.88444424          2.34983496
          3.20000000          1.89958354          2.44512323
          3.30000000          1.91490655          2.54187330
          3.40000000          1.93041625          2.64011143
          3.50000000          1.94611570          2.73986444
          3.60000000          1.96200801          2.84115975
          3.70000000          1.97809637          2.94402535
          3.80000000          1.99438401          3.04848987
          3.90000000          2.01087426          3.15458255
          4.00000000          2.02757048          3.26233328
          4.10000000          2.04447614          3.37177262
          4.20000000          2.06159476          3.48293178
          4.30000000          2.07892994          3.59584269
          4.40000000          2.09648535          3.71053801
          4.50000000          2.11426476          3.82705109
          4.60000000          2.13227199          3.94541607
          4.70000000          2.15051097          4.06566785
          4.80000000          2.16898569          4.18784212
          4.90000000          2.18770026          4.31197539
          5.00000000          2.20665884          4.43810501
          5.10000000          2.22586570          4.56626919
