 electric dipole polarizability:    355.54695282887576     
 m1, energy weight E*R sum:         71576.778644362683     
 m0, R(E) sum:                      2507.3632911359418     
 centroid m1/m0:                    28.546632591057584     
               E                R(E)           photodisintegration cross section
         26.71817850        850.11675188       9136.45663058
         28.34799566       1176.08030670      13410.70814860
         29.83193533        309.38108272       3712.50938118
         31.08940398          1.24492834         15.56858445
         31.15857874         30.36279363        380.55001489
         31.52756441          4.51907369         57.31023918
         32.69549348          4.64753648         61.12277738
         32.85755872          1.11325610         14.71372891
         33.00864015          1.15437373         15.32732780
         33.33201906          0.00013334          0.00178780
         33.55492233          3.37507753         45.55461356
         33.81051903          1.64085980         22.31596584
         33.87322185          0.03007090          0.40972765
         34.14933508          6.90913980         94.90707930
         34.40860654          0.14515033          2.00898869
         34.42518975          3.64830284         50.51956469
         34.56331046          0.41349984          5.74887743
         34.80764707          0.06714114          0.94006037
         35.01725534          0.53269395          7.50329876
         35.18427964          0.00120837          0.01710177
         35.46195798          0.51732461          7.37935197
         35.79763126          0.00347030          0.04997053
         35.92675905          0.01005483          0.14530659
         36.01743681          0.02662961          0.38580688
         36.10249032          0.10098149          1.46646361
         36.28308635          0.84042128         12.26573669
         36.41623210          9.06417859        132.77485562
         36.44512606          0.05114058          0.74971716
         36.59169158          3.21954880         47.38816314
         36.73013318          1.36652726         20.18985406
         36.86994254         27.85762969        413.15118024
         36.94405414          2.19902278         32.67884180
         36.96462711          0.21518176          3.19951505
         37.02831500          0.95924860         14.28754138
         37.07914155          0.62265635          9.28689357
         37.20291866          0.03892027          0.58243207
         37.28932166          0.58059645          8.70865803
         37.34302137          0.62875861          9.44464800
         37.43490680          0.02541512          0.38270247
         37.57474969          0.24791097          3.74700451
         37.61149245          2.66442647         40.31036048
         37.86131672          0.13965675          2.12691438
         38.01489060          0.03718930          0.56867492
         38.16080875          0.00254527          0.03907006
         38.23876278          0.02186335          0.33628913
         38.40370204          0.42744794          6.60311247
         38.49341050          2.04286621         31.63142023
         38.57932103          0.65614712         10.18235372
         38.63678260          0.44892378          6.97695535
         38.87256464          5.09519511         79.67028837
         39.04889907          4.01654093         63.08895988
         39.12972565          2.76475480         43.51668457
         39.33186012          2.15424017         34.08246381
         39.55280808         11.11385018        176.82116029
         39.73058721          2.14829395         34.33294554
         39.90373207          3.52738489         56.61854994
         39.93871951          2.50522163         40.24692143
         40.09387132          0.20287042          3.27181775
         40.34665059          0.38775708          6.29302711
         40.63403284          1.28539190         21.00960372
         40.66662351          0.00131066          0.02143983
         41.05949505          0.01609147          0.26576732
         41.11664773          0.77017490         12.73794687
         41.28721550          2.56318209         42.56841001
         41.44519269          0.12966060          2.16159612
         41.60416840          0.75363948         12.61225846
         41.64404035          0.15938944          2.66996010
         42.08256999          1.09178442         18.48125762
         42.31927771          4.35531766         74.13963758
         42.51548280          0.40171696          6.87004627
         42.84522728          1.56007560         26.88688385
         43.01269726          0.31308765          5.41695208
         43.14975961          2.46235333         42.73868225
         43.51382208          0.00165135          0.02890398
         43.73276720          0.03925945          0.69062705
         44.01516081          0.10745799          1.90253820
         44.19914372          0.19955778          3.54792885
         44.27129228          0.00158455          0.02821755
         44.39443986          0.05329503          0.95171665
         44.53187211          0.06284957          1.12581144
         44.87155371          0.03249497          0.58651568
         44.91504038          0.61839916         11.17256942
         45.28203103          0.23669821          4.31134958
         45.36685916          0.34952454          6.37835609
         45.54087482          0.02383128          0.43655720
         45.77230666          1.74299694         32.09163176
         46.07728170          0.10374684          1.92288849
         46.27453464          0.66111378         12.30582251
         46.50439205          0.17293480          3.23495871
         46.69435370          0.75737383         14.22548353
         46.73427387          0.00331824          0.06237868
         46.84270711          0.02794957          0.52663475
         46.94941757          0.52241137          9.86586588
         47.22281668          0.00037603          0.00714282
         47.36401364          0.00498950          0.09505999
         47.68251223          0.00053858          0.01033007
         47.95672011          0.04733070          0.91302951
         48.01489500          0.06807942          1.31487415
         48.10978630          1.23575522         23.91433211
         48.31137049          0.10842188          2.10697153
