 electric dipole polarizability:    8.8495611682041240E-004
 m1, energy weight E*R sum:        0.17427784209058414     
 m0, R(E) sum:                      4.2003124599048532E-003
 centroid m1/m0:                    41.491637527969033     
               E                R(E)           photodisintegration cross section
          0.00000000          0.00002089          0.00000000
          0.10000000          0.00002094          0.00000084
          0.20000000          0.00002099          0.00000169
          0.30000000          0.00002104          0.00000254
          0.40000000          0.00002109          0.00000339
          0.50000000          0.00002114          0.00000425
          0.60000000          0.00002119          0.00000511
          0.70000000          0.00002124          0.00000598
          0.80000000          0.00002129          0.00000685
          0.90000000          0.00002134          0.00000772
          1.00000000          0.00002139          0.00000860
          1.10000000          0.00002144          0.00000949
          1.20000000          0.00002149          0.00001037
          1.30000000          0.00002154          0.00001126
          1.40000000          0.00002159          0.00001216
          1.50000000          0.00002164          0.00001306
          1.60000000          0.00002169          0.00001396
          1.70000000          0.00002175          0.00001487
          1.80000000          0.00002180          0.00001578
          1.90000000          0.00002185          0.00001670
          2.00000000          0.00002190          0.00001762
          2.10000000          0.00002196          0.00001855
          2.20000000          0.00002201          0.00001948
          2.30000000          0.00002206          0.00002041
          2.40000000          0.00002211          0.00002135
          2.50000000          0.00002217          0.00002229
          2.60000000          0.00002222          0.00002324
          2.70000000          0.00002227          0.00002419
          2.80000000          0.00002233          0.00002515
          2.90000000          0.00002238          0.00002611
          3.00000000          0.00002244          0.00002708
          3.10000000          0.00002249          0.00002805
          3.20000000          0.00002255          0.00002902
          3.30000000          0.00002260          0.00003000
          3.40000000          0.00002266          0.00003099
          3.50000000          0.00002271          0.00003198
          3.60000000          0.00002277          0.00003297
          3.70000000          0.00002282          0.00003397
          3.80000000          0.00002288          0.00003497
          3.90000000          0.00002294          0.00003598
          4.00000000          0.00002299          0.00003699
          4.10000000          0.00002305          0.00003801
          4.20000000          0.00002311          0.00003903
          4.30000000          0.00002316          0.00004006
          4.40000000          0.00002322          0.00004110
          4.50000000          0.00002328          0.00004213
          4.60000000          0.00002333          0.00004318
          4.70000000          0.00002339          0.00004422
          4.80000000          0.00002345          0.00004528
          4.90000000          0.00002351          0.00004634
          5.00000000          0.00002357          0.00004740
          5.10000000          0.00002363          0.00004847
          5.20000000          0.00002368          0.00004954
          5.30000000          0.00002374          0.00005062
          5.40000000          0.00002380          0.00005170
          5.50000000          0.00002386          0.00005279
          5.60000000          0.00002392          0.00005389
          5.70000000          0.00002398          0.00005499
          5.80000000          0.00002404          0.00005609
          5.90000000          0.00002410          0.00005720
          6.00000000          0.00002416          0.00005832
          6.10000000          0.00002423          0.00005944
          6.20000000          0.00002429          0.00006057
          6.30000000          0.00002435          0.00006170
          6.40000000          0.00002441          0.00006284
          6.50000000          0.00002447          0.00006398
          6.60000000          0.00002453          0.00006513
          6.70000000          0.00002460          0.00006629
          6.80000000          0.00002466          0.00006745
          6.90000000          0.00002472          0.00006862
          7.00000000          0.00002478          0.00006979
          7.10000000          0.00002485          0.00007097
          7.20000000          0.00002491          0.00007215
          7.30000000          0.00002498          0.00007334
          7.40000000          0.00002504          0.00007453
          7.50000000          0.00002510          0.00007574
          7.60000000          0.00002517          0.00007694
          7.70000000          0.00002523          0.00007816
          7.80000000          0.00002530          0.00007937
          7.90000000          0.00002536          0.00008060
          8.00000000          0.00002543          0.00008183
          8.10000000          0.00002550          0.00008307
          8.20000000          0.00002556          0.00008431
          8.30000000          0.00002563          0.00008556
          8.40000000          0.00002569          0.00008682
          8.50000000          0.00002576          0.00008808
          8.60000000          0.00002583          0.00008935
          8.70000000          0.00002590          0.00009062
          8.80000000          0.00002596          0.00009190
          8.90000000          0.00002603          0.00009319
          9.00000000          0.00002610          0.00009449
          9.10000000          0.00002617          0.00009579
          9.20000000          0.00002624          0.00009709
          9.30000000          0.00002631          0.00009841
          9.40000000          0.00002637          0.00009973
          9.50000000          0.00002644          0.00010105
          9.60000000          0.00002651          0.00010239
          9.70000000          0.00002658          0.00010373
          9.80000000          0.00002665          0.00010507
          9.90000000          0.00002673          0.00010643
         10.00000000          0.00002680          0.00010779
         10.10000000          0.00002687          0.00010915
         10.20000000          0.00002694          0.00011053
         10.30000000          0.00002701          0.00011191
         10.40000000          0.00002708          0.00011330
         10.50000000          0.00002716          0.00011469
         10.60000000          0.00002723          0.00011609
         10.70000000          0.00002730          0.00011750
         10.80000000          0.00002737          0.00011892
         10.90000000          0.00002745          0.00012034
         11.00000000          0.00002752          0.00012177
         11.10000000          0.00002760          0.00012321
         11.20000000          0.00002767          0.00012466
         11.30000000          0.00002774          0.00012611
         11.40000000          0.00002782          0.00012757
         11.50000000          0.00002790          0.00012904
         11.60000000          0.00002797          0.00013051
         11.70000000          0.00002805          0.00013200
         11.80000000          0.00002812          0.00013349
         11.90000000          0.00002820          0.00013498
         12.00000000          0.00002828          0.00013649
         12.10000000          0.00002835          0.00013800
         12.20000000          0.00002843          0.00013952
         12.30000000          0.00002851          0.00014105
         12.40000000          0.00002859          0.00014259
         12.50000000          0.00002867          0.00014413
         12.60000000          0.00002874          0.00014568
         12.70000000          0.00002882          0.00014725
         12.80000000          0.00002890          0.00014881
