 electric dipole polarizability:    15104.186366367150     
 m1, energy weight E*R sum:         455024.14326802036     
 m0, R(E) sum:                      33782.294355871818     
 centroid m1/m0:                    13.469308463027202     
               E                R(E)           photodisintegration cross section
          0.00000000        157.35055490          0.00000000
          0.10000000        161.14964493          6.48218959
          0.20000000        165.10141871         13.28229668
          0.30000000        169.21454522         20.41979236
          0.40000000        173.49832385         27.91564396
          0.50000000        177.96273956         35.79245296
          0.60000000        182.61852360         44.07460752
          0.70000000        187.47722041         52.78845141
          0.80000000        192.55126135         61.96247131
          0.90000000        197.85404614         71.62750463
          1.00000000        203.40003276         81.81697048
          1.10000000        209.20483683         92.56712647
          1.20000000        215.28534167        103.91735462
          1.30000000        221.65982001        115.91048004
          1.40000000        228.34806895        128.59312631
          1.50000000        235.37155949        142.01611234
          1.60000000        242.75360247        156.23489581
          1.70000000        250.51953264        171.31006903
          1.80000000        258.69691295        187.30791400
          1.90000000        267.31576139        204.30102385
          2.00000000        276.40880266        222.36899908
          2.10000000        286.01174754        241.59922797
          2.20000000        296.16360263        262.08776122
          2.30000000        306.90701354        283.94029230
          2.40000000        318.28864459        307.27325600
          2.50000000        330.35959821        332.21505830
          2.60000000        343.17587689        358.90745220
          2.70000000        356.79889038        387.50707409
          2.80000000        371.29601016        418.18715571
          2.90000000        386.74117204        451.13942619
          3.00000000        403.21552615        486.57621665
          3.10000000        420.80813101        524.73277658
          3.20000000        439.61668460        565.86980555
          3.30000000        459.74828017        610.27619398
          3.40000000        481.32016678        658.27195292
          3.50000000        504.46048428        710.21129139
          3.60000000        529.30892784        766.48576905
          3.70000000        556.01727757        827.52740848
          3.80000000        584.74970233        893.81159016
          3.90000000        615.68271168        965.85946869
          4.00000000        649.00458377       1044.23953436
          4.10000000        684.91403795       1129.56779089
          4.20000000        723.61784602       1222.50581976
          4.30000000        765.32698470       1323.75574485
          4.40000000        810.25082491       1434.05079379
          4.50000000        858.58873486       1554.13977576
          4.60000000        910.51835719       1684.76337839
          4.70000000        966.17972749       1826.61977344
          4.80000000       1025.65437615       1980.31670336
          4.90000000       1088.93866200       2146.30715483
          5.00000000       1155.91092225       2324.80615968
          5.10000000       1226.29271476       2515.68754825
          5.20000000       1299.60561645       2718.36205325
          5.30000000       1375.12683885       2931.64246552
          5.40000000       1451.84933180       3153.60782645
          5.50000000       1528.45483235       3381.48663079
          5.60000000       1603.31085369       3611.58745196
          5.70000000       1674.50379610       3839.31166124
          5.80000000       1739.91872283       4059.28300888
          5.90000000       1797.37050992       4265.61838261
          6.00000000       1844.78065640       4452.34041903
          6.10000000       1880.38060363       4613.89783364
          6.20000000       1902.90990635       4745.72198188
          6.30000000       1911.77137933       4844.72221796
          6.40000000       1907.10971871       4909.62169313
          6.50000000       1889.79550681       4941.06474409
          6.60000000       1861.31836723       4941.47923081
          6.70000000       1823.61352651       4914.73361499
          6.80000000       1778.85801761       4865.66914097
          6.90000000       1729.27322821       4799.60044150
          7.00000000       1676.96142930       4721.86416747
          7.10000000       1623.79036108       4637.46541396
          7.20000000       1571.32710969       4550.83904598
          7.30000000       1520.81366199       4465.71744896
          7.40000000       1473.17254086       4385.08191799
