 electric dipole polarizability:    12916.254282937814     
 m1, energy weight E*R sum:         453527.01286426059     
 m0, R(E) sum:                      35656.039655341388     
 centroid m1/m0:                    12.719500461861328     
               E                R(E)           photodisintegration cross section
          6.23390116       7620.34879884      19108.52383884
          7.12295994        117.09136795        335.48859221
          8.40914212        872.85428055       2952.47218089
          9.18638663       1016.92915794       3757.74923900
         14.51076407      24201.03707120     141259.16465260
         17.33194658        346.36134513       2414.73310016
         18.39994127        313.57847382       2320.89265823
         19.16098798        133.16936542       1026.39518130
         19.37657716          7.78013995         60.63967251
         19.67353087         80.36754854        635.99749943
         19.78083456          3.98900341         31.73959600
         19.98867324          7.18823607         57.79611888
         20.31953908        184.80129262       1510.46697000
         20.62275205        162.61783569       1348.98516203
         20.73776084          0.89923860          7.50117290
         20.82686916          0.00554257          0.04643312
         20.94822665          0.92150897          7.76495970
         21.19461645         63.70340986        543.10101826
         21.42899381         22.39467278        193.03625188
         21.54793106          7.20912213         62.48565642
         21.74844033          5.75754604         50.36837184
         21.80404132          5.07842219         44.54081663
         21.91111193          2.95478535         26.04250348
         21.97467505         57.95108456        512.24344048
         22.13518586          7.79121059         69.37140519
         22.42603100          7.73457327         69.77199679
         22.50262943         26.48567082        239.73785826
         22.55683105         16.59155285        150.54193618
         22.74528614          3.25935112         29.82050051
         22.80066009         12.41324555        113.84793106
         22.83579356         11.61306874        106.67323870
         23.03596540          0.66457670          6.15805986
         23.11263788         15.02720547        139.70762687
         23.50171378         74.58555257        705.09335247
         23.59732706          0.11042836          1.04817983
         23.69344214          0.40031335          3.81522901
         23.74294333         10.46319771         99.92895911
         23.84531516          2.18099579         20.91945035
         23.86350378          0.07885258          0.75690697
         23.95368556          1.31966719         12.71537403
         24.04124250          0.00020949          0.00202584
         24.05198058          0.58860884          5.69468886
         24.18130172          0.30174240          2.93500197
         24.30712797         14.90595237        145.74234485
         24.37658176          0.09415862          0.92326267
         24.47243606          0.22953976          2.25957885
         24.50632230          1.17960357         11.62804207
         24.62402439          4.67275752         46.28333595
         24.69773129          0.98276930          9.76339853
         24.80587941          1.53037996         15.27025448
         24.84742043          0.07486692          0.74827913
         24.94320236         12.57861452        126.20524200
         25.03626223         25.49391559        256.74288151
         25.16642861          5.70191035         57.72106681
         25.23448681         12.35335861        125.39259832
         25.29368727          4.64217257         47.23085433
         25.32529138          0.71506163          7.28434155
         25.36708476          0.16849455          1.71928860
         25.37664736          0.17104348          1.74595535
         25.43105025          0.15852422          1.62163196
         25.49759802          0.05731898          0.58788194
         25.56472912          0.11111664          1.14264855
         25.64240206          4.11175199         42.41094924
         25.65965938          1.51786133         15.66662182
         25.68458767          4.30036641         44.42939863
         25.73013444          6.05208776         62.63825463
         25.74725112          1.61703177         16.74718423
         25.78979445          0.00910590          0.09446326
         25.81103912          0.33935693          3.52334024
         25.88400069          0.60098230          6.25727819
         25.90250825          0.01006951          0.10491619
         25.93052491          5.94056860         61.96289485
         25.97288827          4.06426324         42.46141403
         25.98601622          1.06785840         11.16209592
         26.02556796          0.05510688          0.57689723
         26.06122348          0.81221482          8.51447913
         26.11432943          0.10269218          1.07871980
         26.12627990          0.01781803          0.18725341
         26.15609479          2.32136326         24.42352720
         26.19631258          0.81858888          8.62578002
         26.22571843          0.00052023          0.00548800
         26.24730139          0.08301375          0.87644984
         26.28262391          0.91672029          9.69165484
         26.30017903          6.99639546         74.01596914
         26.37088013          3.47254267         36.83533221
         26.41020917         13.86943722        147.34081098
         26.44149010          1.64824666         17.53075036
         26.44644362          4.31095744         45.85993020
         26.49134630          7.64512208         81.46683241
         26.50220641          6.23430978         66.46037481
         26.53129378          4.90301567         52.32558419
         26.53495104         31.35336788        334.65310955
         26.60218765          9.17757819         98.20595463
         26.61346816          0.04688405          0.50190201
         26.63364567          4.75142485         50.90340781
         26.68406585          1.14683508         12.30963988
         26.72110565          1.60706840         17.27353246
         26.72890072          5.59321173         60.13602722
         26.75854344          2.90062815         31.22100676
         26.77388028          3.20245484         34.48948477
